FIPS,State,County,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_ACS,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Metro2013,Nonmetro2013,Micropolitan2013
0,US,United States,11.1259596764,26.4871295995,20.0051376775,8.711751343,33.6700217036,69021.0,37638.0,12.6318503118,,,,,
1000,AL,Alabama,12.5972998442,30.499973197,21.3492987147,8.8844904056,26.6689378385,54943.0,30458.0,15.7851266275,,,,,
1001,AL,Autauga,10.4155096683,32.7586206897,19.6243752209,9.0700257485,28.1314686727,62660.0,30968.0,13.5784737844,2.0,2.0,1.0,0.0,0.0
1003,AL,Baldwin,8.9858436692,27.3754915821,21.7154287337,9.4729498633,32.4502861517,64346.0,35384.0,9.2049049926,3.0,2.0,1.0,0.0,0.0
1005,AL,Barbour,24.3289802723,36.6768546819,20.5001389275,7.3409280356,11.1530980828,36422.0,21325.0,26.4719101124,6.0,6.0,0.0,1.0,0.0
1007,AL,Bibb,19.461916921,43.9185402005,17.9734695149,6.7322663013,11.9138070623,54277.0,24787.0,16.9428571429,1.0,1.0,1.0,0.0,0.0
1009,AL,Blount,16.3519228878,35.1234385758,21.4714271663,12.1496016524,14.9036097177,52830.0,27309.0,13.2366304888,1.0,1.0,1.0,0.0,0.0
1011,AL,Bullock,22.3934855315,41.3116184383,19.1798749455,5.4238766904,11.6911443944,29063.0,21012.0,30.9345983044,6.0,6.0,0.0,1.0,0.0
1013,AL,Butler,14.4351464435,45.2032277346,18.7089061566,7.6135684399,14.0391512253,45236.0,23897.0,18.1770005299,6.0,6.0,0.0,1.0,0.0
1015,AL,Calhoun,14.7851438396,34.6149533409,23.1551275183,7.9164745898,19.5283007114,50977.0,26440.0,17.5384398115,3.0,2.0,1.0,0.0,0.0
1017,AL,Chambers,17.2184630256,36.2332850008,23.0989205735,9.795392299,13.653939101,47232.0,24840.0,15.0713245997,6.0,5.0,0.0,1.0,1.0
1019,AL,Cherokee,20.1779127793,36.9331742243,19.4727706661,10.5934042092,12.8227381211,43475.0,26867.0,14.9733707363,6.0,6.0,0.0,1.0,0.0
1021,AL,Chilton,18.2386847449,42.945568874,17.7703543591,7.5096613611,13.5357306609,56243.0,26426.0,15.7239819005,1.0,1.0,1.0,0.0,0.0
1023,AL,Choctaw,19.4160112057,37.4636353841,21.18306217,10.2251912509,11.7120999892,38581.0,25163.0,21.5662937396,9.0,10.0,0.0,1.0,0.0
1025,AL,Clarke,17.7761386686,41.4284836192,18.9993238675,7.9107505071,13.8853033376,44108.0,25263.0,21.9061290182,7.0,11.0,0.0,1.0,0.0
1027,AL,Clay,16.9926772996,38.2485705688,19.5205135921,11.8567559434,13.381482596,45163.0,26255.0,16.9262795205,9.0,10.0,0.0,1.0,0.0
